gamma_eff_over_gf,tau_Q,E_B_max_over_omega0F2,P_B_max_over_omega0F2,t_at_E_B_max,t_at_P_B_max
0.0,473.8879609717656,224779.0811382473,473.196013755549,475.0231925122835,475.0231925122835
0.0,536.6976945540476,288514.606239772,535.8201845422294,581.7095171144783,537.6961867653375
0.0,607.8323128297236,369847.19019972655,607.4904294308964,608.8115504078038,608.8115504078038
0.0,688.3952069645503,474282.3324653443,688.0840521167586,689.2796468778861,689.2796468778861
0.0,779.6360130405237,608076.9525135036,778.038086385519,805.57055232617,780.4677872706802
0.0,882.9699955494092,778593.4662641605,876.2289888397928,927.604076601013,883.7435217184701
0.0,1000.0,995708.5640891743,995.0740457086716,1000.6376594618653,1000.6376594618653
0.0001,0.1,4.019554786548652,1.3535698078105851,3.1475399527811128,2.7866756142456985
0.0001,0.11325413151528117,4.025163224881218,1.3553301448475634,3.148372645317287,2.7874128388477892
0.0001,0.12826498305280606,4.032355236687343,1.3575769887214844,3.1493157040173236,2.7882477761682036
0.0001,0.14526539259467808,4.041594553858645,1.3604440923688637,3.150383756957729,2.789193377179136
0.0001,0.16451905877536624,4.053375977739851,1.3640731364400387,3.1515933710395094,2.7902643093916675
0.0001,0.18632463119315604,4.068501219879947,1.368692704983483,3.1529633089625153,2.791477184368087
0.0001,0.21102034285685956,4.087873768192836,1.3745529935577019,3.154514820259515,2.7928508153889973
0.0001,0.23898925662310497,4.112684630650222,1.3819691240799332,3.1361683341469413,2.794406509271954
0.0001,0.27066520700332414,4.1444044752082245,1.391335348370619,3.1381457043987675,2.7961683968681323
0.0001,0.3065395295056528,4.18491219410047,1.4031230265697348,3.1605158255831887,2.7981638073634603
0.0001,0.34716868189265615,4.236652809994754,1.4179606057632397,3.163068357365805,2.820570618033202
0.0001,0.3931828755705769,4.302607908412366,1.4365887095787346,3.165959205067859,2.823148444009556
0.0001,0.44529585099426555,4.386486816262613,1.4597317261968934,3.1692332095262503,2.826067938431051
0.0001,0.504315948717136,4.492860125904614,1.488558937809089,3.172941154841373,2.849584196386201
0.0001,0.5711586478126432,4.627812184342168,1.5241188216904535,3.1973771137872746,2.8735921908721074
0.0001,0.6468607661546326,4.798248827004432,1.5678039524122216,3.222430252828566,2.8981606424810376
0.0001,0.732596542821523,5.01346639158345,1.6211088374251192,3.2481863888961366,2.943669008687124
0.0001,0.8296958520834908,5.284201365669828,1.6858113339700334,3.2747432453723255,2.989983050122558
0.0001,0.9396648314954695,5.623760811284043,1.7637026116211516,3.3225961198614495,3.0372198518978895
0.0001,1.0642092440647246,6.048730604393695,1.8569725833607613,3.3920212355000983,3.126381096575392
0.0001,1.2052609368708427,6.579296548703799,1.9677802303481022,3.4628617160188764,3.2169781148814414
0.0001,1.3650078065460138,7.240352708756999,2.0985625706700515,3.576436047754705,3.3297853548061043
0.0001,1.5459277364194777,8.063873234702704,2.251992213400624,3.6921662204158014,3.465273385641646
0.0001,1.750827031735725,9.087235313706834,2.4309112292616235,3.8310945637739535,3.6447170390498154
0.0001,1.9828839491270713,10.360405830602717,2.6389445301103494,4.014685437447589,3.8274721735251624
0.0001,2.245697995539774,11.942841740834702,2.8792797347972368,4.223142573869161,4.055889442230779
0.0001,2.5433457613046495,13.91377039562609,3.156212565894729,4.47848536741012,4.331305129983496
0.0001,2.8804441533962977,16.3701888299036,3.4740806637337216,4.78230598306025,4.6341814924344895
0.0001,3.26222200971167,19.433633938104336,3.838060159667538,5.136533718423575,5.008653235807221
0.0001,3.6946012051993025,23.265343437735982,4.254503137745632,5.52201470657712,5.41458253329741
